H40,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110
8,,,,,"4,2","5,0","5,7","6,5","7,2","7,9","8,6","9,2","9,8","10,4","11,0","11,6","12,1","12,6","13,1","13,5"
11,,,"4,2","5,2","6,3","7,4","8,5","9,5","10,5","11,4","12,3","13,2","14,0","14,8","15,6","16,3","17,0","17,6","18,2","18,8"
14,,"4,3","5,8","7,2","8,7","10,1","11,5","12,8","14,0","15,2","16,3","17,4","18,4","19,4","20,3","21,1","21,9","22,7","23,4",24
17,,"5,8","7,7","9,5","11,4","13,1","14,8","16,3","17,8","19,2","20,6","21,8","22,9","24,0","25,0","25,9","26,8","27,6","28,4","29,1"
20,"5,0","7,2","9,5","11,7","13,9","15,9","17,8","19,6","21,3","22,8","24,2","25,6","26,8","28,0","29,0","30,0","30,9","31,8","32,5","33,3"
23,"6,1","8,8","11,5","14,1","16,5","18,8","20,9","22,9","24,7","26,3","27,9","29,3","30,5","31,7","32,8","33,8","34,7",,,
